web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708112583-1","https://www.expat-dakar.com/appartements-a-louer?page=50","APPARTEMENTS 3 CHAMBRES NEUFS NGOR-ALMADIES
3 chambre170 m²
Ngor,
Dakar

9. janv., 16:53

725 200 F Cfa

785393382

775452867","https://www.expat-dakar.com/annonce/appartements-3-chambres-neufs-ngor-almadies-5854013","APPARTEMENTS 3 CHAMBRES NEUFS NGOR-ALMADIES","3","3","Commodités : ascenseur, pompe et réservoir d'eau, sécurité 24h/7j, place de parking.","Ngor","Dakar","725 200 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5600a736635740b57fe711e3e2b52074/-/horizon-files-prod/ed/picture/qgqg2eq0/b9000b0dba96de0e9563cf7881498ead70c91cdd.jpg"
"1708112585-2","https://www.expat-dakar.com/appartements-a-louer?page=50","4 CHAMBRES A LOUER AUX ALMADIES
4 chambre300 m²
Almadies,
Dakar

9. janv., 16:56

2 300 000 F Cfa

785393382

775452867","https://www.expat-dakar.com/annonce/4-chambres-a-louer-aux-almadies-5936464","4 CHAMBRES A LOUER AUX ALMADIES","4","4","Niveau : 1er et 2ème étage","Almadies","Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/723e42c2b424a1b200b85bf007f1bcc2/-/horizon-files-prod/ed/picture/qenqp7w9/b858af556be60ee820db308ac9a215c342fa2913.jpg"
"1708112588-3","https://www.expat-dakar.com/appartements-a-louer?page=50","F4 À LOUER
3 chambre150 m²
VDN,
Dakar

9. janv., 19:39

350 000 F Cfa

775599232

783910606","https://www.expat-dakar.com/annonce/f4-a-louer-5976048","F4 À LOUER","3","3","","VDN","Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/28460845f85651157ee709df44270c8a/-/horizon-files-prod/ed/picture/q9m9dkj6/3d9ce84c014497c3ecc5880ff1f10e0e2bba180b.jpg"
"1708112591-4","https://www.expat-dakar.com/appartements-a-louer?page=50","Appartement F5 à louer à la CITÉ KEUR GORGUI
4 chambre
Cité keur gorgui,
Dakar

10. janv., 07:48

Vendeur vérifié

500 000 F Cfa

774723333","https://www.expat-dakar.com/annonce/appartement-f5-a-louer-a-la-cite-keur-gorgui-5976312","Appartement F5 à louer à la CITÉ KEUR GORGUI","4","","Prix: 500.000 FCFA

Niveau: 2ieme étage","Cité keur gorgui","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3ad634f83df672a0e73ea46be53d2be5/-/horizon-files-prod/ed/picture/qm5p40w9/eb7b2c318f9e03ec627765e1fa3e98d6b523725c.jpg"
"1708112593-5","https://www.expat-dakar.com/appartements-a-louer?page=50","Appartement F4 à louer aux almadies
3 chambre150 m²
Autres,
Autres

10. janv., 10:40

1 500 000 F Cfa

778897413","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-aux-almadies-5947823","Appartement F4 à louer aux almadies","3","4","","Autres","Autres","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5574ff2fbfe94978e2f271162b4ba56b/-/horizon-files-prod/ed/picture/q7850red/2846b93c65e61bb09c871767b38b535bd3b1d547.jpg"
"1708112596-6","https://www.expat-dakar.com/appartements-a-louer?page=50","APPARTEMENT F3 MERMOZ
2 chambre
Autres,
Autres

10. janv., 10:41

850 000 F Cfa

778897413","https://www.expat-dakar.com/annonce/appartement-f3-mermoz-5948257","APPARTEMENT F3 MERMOZ","2","3","","Autres","Autres","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff708e47f0f4c7a00ffe885933e7a2ef/-/horizon-files-prod/ed/picture/qgq9dke4/a6241cd8fc70d001eea9162b2f5ccceee0505056.jpg"
"1708112598-7","https://www.expat-dakar.com/appartements-a-louer?page=50","Appartement F4 sis à ouakam avenue Cheikh Anta Diop
150 m²
Ouakam,
Dakar

10. janv., 12:07

1 250 000 F Cfa

772764003","https://www.expat-dakar.com/annonce/appartement-f4-sis-a-ouakam-avenue-cheikh-anta-diop-5923149","Appartement F4 sis à ouakam avenue Cheikh Anta Diop","","3","","Ouakam","Dakar","1 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/28497ae8719e83f653a1c4761423dbc5/-/horizon-files-prod/ed/picture/qngx794g/6026a2ee39cdb94a8671e9200ab861928243e25a.jpg"
"1708112600-8","https://www.expat-dakar.com/appartements-a-louer?page=50","Bel Appartement à louer à Mermoz
3 chambre
Mermoz,
Dakar

13. nov. '23, 17:14

772847878","https://www.expat-dakar.com/annonce/bel-appartement-a-louer-a-mermoz-5935006","Bel Appartement à louer à Mermoz","3","4","","Mermoz","Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2efdd149eee1399c7dc3b0cd13a08bfd/-/horizon-files-prod/ed/picture/qwe2nkwm/4a919a971ff71881e9bf1b71a77e9f5ac3c30b9b.jpg"
"1708112603-9","https://www.expat-dakar.com/appartements-a-louer?page=50","F4 A LOUER AUX MAMELLES
3 chambre
Mamelles,
Dakar

10. janv., 17:03

750 000 F Cfa

772174185","https://www.expat-dakar.com/annonce/f4-a-louer-aux-mamelles-5972477","F4 A LOUER AUX MAMELLES","3","","","Mamelles","Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd6ce1636d76245a722a606aabf9772c/-/horizon-files-prod/ed/picture/qxj2x0r8/8fceafca1f43dc5e5f3a9f1cb8dc6fd876949642.jpg"
"1708112605-10","https://www.expat-dakar.com/appartements-a-louer?page=50","Appartements à louer à Zac Mbao
2 chambre
Mbao,
Dakar

10. janv., 17:08

160 000 F Cfa

772847878","https://www.expat-dakar.com/annonce/appartements-a-louer-a-zac-mbao-5976994","Appartements à louer à Zac Mbao","2","2","","Mbao","Dakar","160 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b15bf142651a775ab9a7855d48498f92/-/horizon-files-prod/ed/picture/qwe28n25/bd468b39d8df9b2adf423ff6c8285a4835c5b5f6.jpg"
