web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708114483-1","https://www.expat-dakar.com/appartements-meubles?page=50","Bel appartement meublé au virage.
2 chambre
Virage,
Dakar

8. déc. '23, 15:45

850 000 F Cfa

781385959

776313024","https://www.expat-dakar.com/annonce/bel-appartement-meuble-au-virage-5956397","Bel appartement meublé au virage.","2","","","Virage","Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/83bef6cf97d75dd2df1480ff529bb348/-/horizon-files-prod/ed/picture/q448p62r/eb7d687074d7ff2fd5e12b378286a52aad478099.jpg"
"1708114486-2","https://www.expat-dakar.com/appartements-meubles?page=50","Résidence Hôtelière les Mamelles

Ouakam,
Dakar

8. déc. '23, 16:35

Vendeur vérifié

35 000 F Cfa

60 000 F Cfa

Économisez 41.7%

778682221

338681932","https://www.expat-dakar.com/annonce/residence-hoteliere-les-mamelles-5947303","Résidence Hôtelière les Mamelles","","","","Ouakam","Dakar","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/76e270db1844a05ffdbdb4fa81857d4c/-/horizon-files-prod/ed/picture/q0gw9zjm/aed8a006cc6f2a18358658e78a55b456e49aa4bd.png"
"1708114488-3","https://www.expat-dakar.com/appartements-meubles?page=50","Joli appartement meublé 2 chambres + salon à Zac Mbao
2 chambre70 m²
Zac Mbao,
Dakar

13. nov. '23, 15:28

30 000 F Cfa

775853800

779445088

775422503","https://www.expat-dakar.com/annonce/joli-appartement-meuble-2-chambres-salon-a-zac-mbao-5934299","Joli appartement meublé 2 chambres + salon à Zac Mbao","2","2","70 m²","Zac Mbao","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6200d04d5a9f2dd123cee9d8141a830c/-/horizon-files-prod/ed/picture/qxj2wg50/cd3e9ba828bf422117505b6e4e257c395f810e82.jpg"
"1708114490-4","https://www.expat-dakar.com/appartements-meubles?page=50","STUDIO A LOUER

Sicap Liberté,
Dakar

8. déc. '23, 21:00

20 000 F Cfa

777010188

777010188

766550995","https://www.expat-dakar.com/annonce/studio-a-louer-2739533","STUDIO A LOUER","","","","Sicap Liberté","Dakar","20 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4554aa29eafd8520a8856d16771ac316/-/horizon-files-prod/ed/picture/qxzmgp8/730a1a270beffe0ec9c60e24d34d830d062b3393.jpg"
"1708114493-5","https://www.expat-dakar.com/appartements-meubles?page=50","HOTEL LES MAMELLES - RESIDENCE DAROU KHOUDOSS
1 chambre
Mamelles,
Dakar

9. déc. '23, 10:39

Vendeur vérifié

1 F Cfa

778682221

338681932","https://www.expat-dakar.com/annonce/hotel-les-mamelles-residence-darou-khoudoss-5908470","HOTEL LES MAMELLES - RESIDENCE DAROU KHOUDOSS","1","1","","Mamelles","Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c251a69987a71d016ef4a06b807e87ef/-/horizon-files-prod/ed/picture/q9m9je67/2465a1a93181fa3317baf79a30227ca504a84623.jpg"
"1708114496-6","https://www.expat-dakar.com/appartements-meubles?page=50","Appartement de luxe
3 chambre150 m²
Mamelles,
Dakar

16. déc. '23, 10:42

70 000 F Cfa

772462310

778625026

784647225","https://www.expat-dakar.com/annonce/appartement-de-luxe-5947679","Appartement de luxe","3","","150 m²","Mamelles","Dakar","70 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2aa62a6619e2716c18b0e25722c8a88f/-/horizon-files-prod/ed/picture/qgq9djkq/d1004fb2b35bf50ec27022d77da224c2c2f78741.jpg"
"1708114498-7","https://www.expat-dakar.com/appartements-meubles?page=50","Mamelles 2 chambres + salon meublés
2 chambre100 m²
Mamelles,
Dakar

11. déc. '23, 06:02

40 000 F Cfa

781221579","https://www.expat-dakar.com/annonce/mamelles-2-chambres-salon-meubles-5670610","Mamelles 2 chambres + salon meublés","2","2","100 m²","Mamelles","Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c57fe07e59806c507d445f0e1612bccf/-/horizon-files-prod/ed/picture/qrzq84v2/07d138c6fafa998a4801b8c8b424b9c5274e07d5.jpg"
"1708114500-8","https://www.expat-dakar.com/appartements-meubles?page=50","Appartement meublé type F4 Sicap Foire
3 chambre220 m²
Sicap foire,
Dakar

11. déc. '23, 11:45

Vendeur vérifié

120 000 F Cfa

771740667","https://www.expat-dakar.com/annonce/appartement-meuble-type-f4-sicap-foire-4712172","Appartement meublé type F4 Sicap Foire","3","4","220 m²","Sicap foire","Dakar","120 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa638598044c525b7f4826567ccef42a/-/horizon-files-prod/ed/picture/qwdz8v0/b23fc455759b4539888812312d36ccdfd95d6e1a.jpg"
"1708114503-9","https://www.expat-dakar.com/appartements-meubles?page=50","Appartement de luxe F4 Point E
3 chambre130 m²
Point-e,
Dakar

11. déc. '23, 11:45

Vendeur vérifié

100 000 F Cfa

771740667","https://www.expat-dakar.com/annonce/appartement-de-luxe-f4-point-e-5868795","Appartement de luxe F4 Point E","3","3","130 m²","Point-e","Dakar","100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66c481312e6b7198e3c510209ade2948/-/horizon-files-prod/ed/picture/qq4747k6/c01e74b2f0cc79204ce79b050bb598b0b3961f78.jpg"
"1708114505-10","https://www.expat-dakar.com/appartements-meubles?page=50","Appart Meublé
1 chambre
Derkle,
Dakar

11. déc. '23, 13:02

18 000 F Cfa

774471283","https://www.expat-dakar.com/annonce/appart-meuble-5618451","Appart Meublé","1","2","","Derkle","Dakar","18 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6dd78fb35cd643d8227407abc303600/-/horizon-files-prod/ed/picture/qq44px57/7591377665ba3b7cd24c49a8e8291b287ad678ff.jpg"
