web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,superficie,adresse,ville,prix,image_link-src
"1708114241-1","https://www.expat-dakar.com/terrains-a-vendre?page=50","VIP

Terrains a côté du parc technologique de Diamniadio
450 m²
Rufisque,
Dakar

5. oct. '23, 00:31

25 000 000 F Cfa

761819807

774195599","https://www.expat-dakar.com/annonce/terrains-a-cote-du-parc-technologique-de-diamniadio-2891566","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-2","https://www.expat-dakar.com/terrains-a-vendre?page=50","Programme d’habitat social.sise à gorome 1
150 m²
Guediawaye,
Dakar

18. nov. '23, 14:12

2 500 000 F Cfa

774621167

776460637","https://www.expat-dakar.com/annonce/programme-dhabitat-socialsise-a-gorome-1-5648787","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-3","https://www.expat-dakar.com/terrains-a-vendre?page=50","Bon deal
20,000 m²
Noflaye,
Dakar

18. nov. '23, 10:50

350 000 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/bon-deal-5940178","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-4","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain à vendre
10,000 m²
Pointe Sarene,
Thiès

18. nov. '23, 10:47

70 000 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/terrain-a-vendre-5940177","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-5","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain Keur massar TF
150 m²
Point-e,
Dakar

17. nov. '23, 21:11

16 000 000 F Cfa

773566270

773566270","https://www.expat-dakar.com/annonce/terrain-keur-massar-tf-5936371","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-6","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain à usage commercial
895 m²
Almadies,
Dakar

17. nov. '23, 20:21

700 000 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/terrain-a-usage-commercial-5939815","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-7","https://www.expat-dakar.com/terrains-a-vendre?page=50","Terrain à vendre Dakar aéroport
190 m²
Cité biagui,
Dakar

17. nov. '23, 20:01

80 000 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/terrain-a-vendre-dakar-aeroport-5939810","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-8","https://www.expat-dakar.com/terrains-a-vendre?page=50","Dakar plateaux
1,176 m²
Plateau,
Dakar

17. nov. '23, 19:54

2 000 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/dakar-plateaux-5939807","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-9","https://www.expat-dakar.com/terrains-a-vendre?page=50","Vente flash
150 m²
Zone de captage,
Dakar

17. nov. '23, 19:03

60 000 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/vente-flash-5939784","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
"1708114241-10","https://www.expat-dakar.com/terrains-a-vendre?page=50","Opportunité
487 m²
Plateau,
Dakar

17. nov. '23, 18:55

730 500 000 F Cfa

775134949","https://www.expat-dakar.com/annonce/opportunite-5939777","Page 50 résultats pour Terrains à vendre - Sénégal","","","","25 000 000 F Cfa",""
